Time (s)	Temperature (C)	Temperature (F)	Distance (cm)	TDS (ppm)	Flow Rate (L/min)
0.0	-127.0	-196.6	175.32	0.0	2.86
0.97	-127.0	-196.6	178.6	0.0	0.0
2.0	-127.0	-196.6	173.52	0.0	0.0
3.04	-127.0	-196.6	173.45	0.0	0.0
4.07	-127.0	-196.6	173.77	0.0	0.0
5.1	-127.0	-196.6	173.79	0.0	0.0
6.14	-127.0	-196.6	173.6	0.0	0.0
7.17	-127.0	-196.6	173.2	0.0	0.0
